year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points
2008,final,gr,ru,gr,ru,7,,
2008,final,gr,ua,gr,ua,6,,
2008,final,gr,gr,gr,gr,0,,
2008,final,gr,am,gr,am,12,,
2008,final,gr,no,gr,no,2,,
2008,final,gr,rs,gr,rs,5,,
2008,final,gr,tr,gr,tr,0,,
2008,final,gr,az,gr,az,3,,
2008,final,gr,il,gr,il,1,,
2008,final,gr,ba,gr,ba,0,,
2008,final,gr,ge,gr,ge,4,,
2008,final,gr,lv,gr,lv,0,,
2008,final,gr,pt,gr,pt,0,,
2008,final,gr,is,gr,is,0,,
2008,final,gr,dk,gr,dk,0,,
2008,final,gr,es,gr,es,8,,
2008,final,gr,al,gr,al,10,,
2008,final,gr,se,gr,se,0,,
2008,final,gr,fr,gr,fr,0,,
2008,final,gr,ro,gr,ro,0,,
2008,final,gr,hr,gr,hr,0,,
2008,final,gr,fi,gr,fi,0,,
2008,final,gr,de,gr,de,0,,
2008,final,gr,pl,gr,pl,0,,
2008,final,gr,gb,gr,gb,0,,
2008,final,hu,ru,hu,ru,10,,
2008,final,hu,ua,hu,ua,6,,
2008,final,hu,gr,hu,gr,8,,
2008,final,hu,am,hu,am,0,,
2008,final,hu,no,hu,no,4,,
2008,final,hu,rs,hu,rs,7,,
2008,final,hu,tr,hu,tr,5,,
2008,final,hu,az,hu,az,12,,
2008,final,hu,il,hu,il,3,,
2008,final,hu,ba,hu,ba,0,,
2008,final,hu,ge,hu,ge,0,,
2008,final,hu,lv,hu,lv,0,,
2008,final,hu,pt,hu,pt,0,,
2008,final,hu,is,hu,is,0,,
2008,final,hu,dk,hu,dk,2,,
2008,final,hu,es,hu,es,0,,
2008,final,hu,al,hu,al,0,,
2008,final,hu,se,hu,se,1,,
2008,final,hu,fr,hu,fr,0,,
2008,final,hu,ro,hu,ro,0,,
2008,final,hu,hr,hu,hr,0,,
2008,final,hu,fi,hu,fi,0,,
2008,final,hu,de,hu,de,0,,
2008,final,hu,pl,hu,pl,0,,
2008,final,hu,gb,hu,gb,0,,
2008,final,is,ru,is,ru,0,,
2008,final,is,ua,is,ua,5,,
2008,final,is,gr,is,gr,0,,
2008,final,is,am,is,am,1,,
2008,final,is,no,is,no,10,,
2008,final,is,rs,is,rs,2,,
2008,final,is,tr,is,tr,0,,
2008,final,is,az,is,az,0,,
2008,final,is,il,is,il,0,,
2008,final,is,ba,is,ba,0,,
2008,final,is,ge,is,ge,0,,
2008,final,is,lv,is,lv,4,,
2008,final,is,pt,is,pt,6,,
2008,final,is,is,is,is,0,,
2008,final,is,dk,is,dk,12,,
2008,final,is,es,is,es,0,,
2008,final,is,al,is,al,0,,
2008,final,is,se,is,se,3,,
2008,final,is,fr,is,fr,8,,
2008,final,is,ro,is,ro,0,,
2008,final,is,hr,is,hr,0,,
2008,final,is,fi,is,fi,7,,
2008,final,is,de,is,de,0,,
2008,final,is,pl,is,pl,0,,
2008,final,is,gb,is,gb,0,,
2008,final,ie,ru,ie,ru,5,,
2008,final,ie,ua,ie,ua,6,,
2008,final,ie,gr,ie,gr,4,,
2008,final,ie,am,ie,am,0,,
2008,final,ie,no,ie,no,7,,
2008,final,ie,rs,ie,rs,0,,
2008,final,ie,tr,ie,tr,0,,
2008,final,ie,az,ie,az,0,,
2008,final,ie,il,ie,il,0,,
2008,final,ie,ba,ie,ba,2,,
2008,final,ie,ge,ie,ge,0,,
2008,final,ie,lv,ie,lv,12,,
2008,final,ie,pt,ie,pt,0,,
2008,final,ie,is,ie,is,0,,
2008,final,ie,dk,ie,dk,1,,
2008,final,ie,es,ie,es,0,,
2008,final,ie,al,ie,al,0,,
2008,final,ie,se,ie,se,0,,
2008,final,ie,fr,ie,fr,0,,
2008,final,ie,ro,ie,ro,3,,
2008,final,ie,hr,ie,hr,0,,
2008,final,ie,fi,ie,fi,0,,
2008,final,ie,de,ie,de,0,,
2008,final,ie,pl,ie,pl,10,,
2008,final,ie,gb,ie,gb,8,,
2008,final,il,ru,il,ru,12,,
2008,final,il,ua,il,ua,10,,
2008,final,il,gr,il,gr,5,,
2008,final,il,am,il,am,8,,
2008,final,il,no,il,no,7,,
2008,final,il,rs,il,rs,0,,
2008,final,il,tr,il,tr,0,,
2008,final,il,az,il,az,3,,
2008,final,il,il,il,il,0,,
